Name,Speciality,Degree,Experience,Locality,City,Score,NumberOfReviews,NumberOfStories,Fee
Dr. Meeka Gulati,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",15,Janakpuri,Delhi,97,156,108,500
Dr. Sourabh Nagpal,Dentist,"BDS, MDS - Prosthodontics, Fellowship and Diplomate in Implantology from ICOI (USA), PGDE (Cosmetic & Esthetic Dentist)",17,Vasant Vihar,Delhi,99,1649,621,500
Dr. Ruchi Gupta,Dentist,BDS,15,Pitampura,Delhi,97,140,73,300
Dr. Aman Arora,Dentist,"BDS, MDS - Prosthodontics",30,Ashok Vihar,Delhi,98,343,104,500
Dr. Aparna Singhal,Dentist,"BDS, MDS - Prosthodontics",14,Punjabi Bagh,Delhi,98,174,93,300
Dr. Dimple Arora,Dentist,BDS,25,Ashok Vihar,Delhi,100,225,68,500
Dr. Gaurav Goel,Dentist,BDS,22,Patparganj,Delhi,98,50,38,500
Dr. Yash Anand,Dentist,"MDS - Orthodontics, BDS",13,Vikas Puri,Delhi,97,99,85,300
Dr. Anil Kochar,Dentist,BDS,25,Tilak Nagar,Delhi,98,236,77,500
Dr. Ankit Jain,Dentist,"BDS, MDS - Oral Medicine and Radiology",10,Tri Nagar,Delhi,100,311,68,300
Dr. Subhash.C.Gupta,Dentist,"BDS, MDS - Periodontics",54,Munirka,Delhi,97,29,15,1000
Dr. Raj Arya,Dentist,BDS,25,Dwarka,Delhi,98,153,46,500
Dr. Neeraj Verma,Dentist,BDS,45,Sarita Vihar,Delhi,67,0,2,1000
Dr. Aman Popli,Dentist,"BDS, MDS - Prosthodontics",26,Panchsheel Park,Delhi,100,0,0,1200
Dr. Sumanto Bagchi,Dentist,BDS,16,Dwarka,Delhi,99,656,211,400
Dr. Mridul Seth,Dentist,"BDS, MDS",30,Panchsheel Park,Delhi,97,70,39,1200
Dr. Ekta Narula,Dentist,BDS,24,New Rajendra Nagar,Delhi,98,137,57,600
Dr. Sumit Datta,Dentist,"BDS, MDS - Orthodontics",25,Panchsheel Park,Delhi,100,0,0,1200
Dr. Ankur Gupta,Dentist,"BDS, MDS",17,Vasant Kunj,Delhi,98,51,36,500
Dr. Shivani Agarwal,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",22,Sarita Vihar,Delhi,99,139,36,1000
Dr. Mehak Gupta,Dentist,BDS,13,Vasant Kunj,Delhi,100,80,62,500
Dr. Namita Karna,Dentist,"BDS, MDS - Periodontology and Oral Implantology",24,Panchsheel Park,Delhi,33,0,2,1000
Dr. Naveen Gupta,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",24,Karol Bagh,Delhi,97,263,205,500
Dr. Shikha Goel,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",16,Malviya Nagar,Delhi,98,803,304,500
Dr. Manish Gupta,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",28,Munirka,Delhi,99,354,170,1000
Dr. Rajesh Sardana,Dentist,"BDS, MDS, Fellowship in Aesthetic Medicine (FAM)",13,Panchsheel Park,Delhi,100,0,5,900
Dr. Janak Raj Sabharwal,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",41,Vikas Puri,Delhi,96,368,63,1000
Dr. Harsh Goyal,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",13,Janakpuri,Delhi,100,294,235,500
Dr. Animesh Agarwal,Dentist,"BDS, MDS - Orthodontics",16,Kingsway Camp,Delhi,99,2394,901,200
Dr. Asheesh Gupta,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge, Certificate of Oral Implantology",23,Paschim Vihar,Delhi,95,354,150,250
Dr. Navin Pahwa,Dentist,"BDS, MDS - Periodontics",26,Rohini,Delhi,90,63,10,300
Dr. Nidhi Bansal,Dentist,BDS,18,Pitampura,Delhi,98,196,161,200
Dr. Sachin Pruthi,Dentist,BDS,20,Pitampura,Delhi,99,742,240,300
Dr. Prof. Suraj R Suvarna,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",22,Sheikh Sarai,Delhi,100,286,95,300
Dr. Niraj Rampal,Dentist,"BDS, MDS - Prosthodontics",45,Greater Kailash Part 2,Delhi,100,28,18,1500
Dr. Sachin Bansal,Dentist,"BDS, MDS - Orthodontics",20,Pitampura,Delhi,100,403,294,400
Dr. Vishal Arya,Dentist,"BDS, MDS - Pedodontics, Certificate of Oral Implantology",24,Pitampura,Delhi,99,228,138,500
